,Player,Mat,Inns,Runs,Ave,SR,100,50
373,C Kieswetter (ENG),46,40,1054,30.11,89.93,1,5
374,Anamul Haque (BDESH),38,35,1052,30.05,70.69,3,3
375,MP Stoinis (AUS),41,38,1050,33.87,91.86,1,6
376,KD Mills (NZ),170,101,1047,15.62,81.66,0,2
377,JM How (NZ),41,37,1046,29.05,66.53,1,7
378,Gulbadin Naib (AFG),65,56,1041,21.68,73.1,0,5
379,AD Russell (WI),56,47,1034,27.21,130.22,0,4
380,JP Faulkner (AUS),69,52,1032,34.4,104.24,1,4
381,DSBP Kuruppu (SL),54,52,1022,20.03,51.66,0,4
382,AG Prince (Afr/SA),52,41,1018,35.1,67.77,0,3
383,SK Warne (AUS/ICC),194,107,1018,13.05,72.04,0,1
384,SM Patil (INDIA),45,42,1005,24.51,82.17,0,9
385,KOA Powell (WI),46,44,1005,22.84,78.63,0,9
386,Rajin Saleh (BDESH),43,43,1005,23.92,54.82,1,6
387,PW Borren (NL),58,50,1004,22.31,85.37,0,5
388,NFI McCallum (SCOT),43,42,1002,27.83,69.05,2,4
389,Khaled Mahmud (BDESH),77,72,991,14.36,67.83,0,1
390,BL Cairns (NZ),78,65,987,16.72,104.88,0,2
391,MJ Slater (AUS),42,42,987,24.07,60.4,0,9
392,MJ Horne (NZ),50,48,980,20.41,64.68,0,5
393,Akram Khan (BDESH),44,44,976,23.23,56.71,0,5
394,TLW Cooper (NL),23,22,976,48.8,70.16,1,8
395,Javed Ahmadi (AFG),44,41,976,23.8,75.6,0,7
396,Naeem Islam (BDESH),59,51,975,27.08,66.19,0,5
397,DF Watts (SCOT),36,35,974,28.64,62.47,1,9
398,Waqar Younis (PAK),262,139,969,10.3,67.05,0,0
399,Fawad Alam (PAK),38,36,966,40.25,74.47,1,6
400,SA Thomson (NZ),56,52,964,22.95,67.55,0,5
401,JF Mooney (IRE),64,55,963,23.48,79.25,0,3
402,GM Ritchie (AUS),44,42,959,27.4,64.84,0,6
403,HH Pandya (INDIA),54,38,957,29.9,115.57,0,4
404,RR Watson (SCOT),35,35,956,30.83,74.33,1,6
405,MD Marshall (WI),136,83,955,14.92,76.64,0,2
406,SF Mire (ZIM),47,47,955,20.31,80.25,1,3
407,Imad Wasim (PAK),53,39,952,41.39,109.67,0,5
408,MG Johnson (AUS),153,91,951,16.11,96.35,0,2
409,RS Madugalle (SL),63,56,950,18.62,60.35,0,3
410,NT Broom (NZ),39,39,943,26.94,81.22,1,5
411,A Kumble (Asia/INDIA),271,136,938,10.53,61.06,0,0
412,CM Spearman (NZ),51,50,936,18.72,77.87,0,5
413,RV Uthappa (INDIA),46,42,934,25.94,90.59,0,6
414,W Barresi (NL),32,31,927,35.65,75.67,1,6
415,AN Kervezee (NL),39,36,924,28,73.15,0,4
416,S Dhaniram (CAN),44,41,915,24.72,81.26,0,6
